vehicleTypeId,seatingCapacity,standingRoomCapacity,lengthInMeter,primaryFuelType,primaryFuelConsumptionInJoulePerMeter,primaryFuelCapacityInJoule,primaryVehicleEnergyFile,secondaryFuelType,secondaryFuelConsumptionInJoulePerMeter,secondaryVehicleEnergyFile,secondaryFuelCapacityInJoule,automationLevel,maxVelocity,passengerCarUnit,rechargeLevel2RateLimitInWatts,rechargeLevel3RateLimitInWatts,vehicleCategory,sampleProbabilityWithinCategory,sampleProbabilityString,monetaryCostPerMeter,monetaryCostPerSecond,monetaryCostPerUsage
conv-L1-10000-to-25000-LowTech-2019,3,0,4.5,gasoline,3655.98,3655980000,LowTech_Fastchg_1p5_FASTSimData_2019/income_10000_to_25000/conv--(gasoline_conv_Mitsubishi_Outlander_4WD_17000).csv.gz,,,,,1,,,,,Car,0.965670647,ridehail | all:0.08319029641274177; income | 0-25:0.9656706474757341,,,
ev-L1-10000-to-25000-LowTech-2019,3,0,4.5,electricity,626,117180000,LowTech_Fastchg_1p5_FASTSimData_2019/income_10000_to_25000/ev--(elect_ev_Mercedes-Benz_B-Class_Electric_Drive_17000).csv.gz,,,,,1,,,,,Car,0.00086757,ridehail | all:7.473917669888182e-05; income | 0-25:0.0008675702848386309,,,
hev-L1-10000-to-25000-LowTech-2019,3,0,4.5,gasoline,1300,3655980000,LowTech_Fastchg_1p5_FASTSimData_2019/income_10000_to_25000/hev--(gasoline_hybrid_Ford_Fusion_Hybrid_FWD_17000).csv.gz,,,,,1,,,,,Car,0.023448111,ridehail | all:0.002020000621881505; income | 0-25:0.02344811104838097,,,
phev-L1-10000-to-25000-LowTech-2019,3,0,4.5,electricity,626,57712500,LowTech_Fastchg_1p5_FASTSimData_2019/income_10000_to_25000/phev-charge_depleting-(gasoline_phev_Chevrolet_Volt_17000_Charge_Depleting).csv.gz,gasoline,1300,LowTech_Fastchg_1p5_FASTSimData_2019/income_10000_to_25000/phev-charge_sustaining-(gasoline_phev_Chevrolet_Volt_17000_Charge_Sustaining).csv.gz,3655980000,1,,,,,Car,0.001238801,ridehail | all:0.00010671984744049995; income | 0-25:0.0012388010215166705,,,
diesel-L1-10000-to-25000-LowTech-2019,3,0,4.5,diesel,1300,3655980000,LowTech_Fastchg_1p5_FASTSimData_2019/income_10000_to_25000/conv--(diesel_conv_BMW_X3_xDrive28d_17000).csv.gz,,,,,1,,,,,Car,0.00877487,ridehail | all:0.0007559348027142356; income | 0-25:0.008774870169529648,,,
conv-L1-25000-to-50000-LowTech-2019,3,0,4.5,gasoline,3655.98,3655980000,LowTech_Fastchg_1p5_FASTSimData_2019/income_25000_to_50000/conv--(gasoline_conv_Volkswagen_Tiguan_36000).csv.gz,,,,,1,,,,,Car,0.966781932,ridehail | all:0.1321368167167236; income | 25-50:0.9667819316098,,,
ev-L1-25000-to-50000-LowTech-2019,3,0,4.5,electricity,626,117180000,LowTech_Fastchg_1p5_FASTSimData_2019/income_25000_to_50000/ev--(elect_ev_Mercedes-Benz_B-Class_Electric_Drive_36000).csv.gz,,,,,1,,,,,Car,0.000847048,ridehail | all:0.00011577197222856126; income | 25-50:0.0008470481862549586,,,
hev-L1-25000-to-50000-LowTech-2019,3,0,4.5,gasoline,1300,3655980000,LowTech_Fastchg_1p5_FASTSimData_2019/income_25000_to_50000/hev--(gasoline_hybrid_Ford_Fusion_Hybrid_FWD_36000).csv.gz,,,,,1,,,,,Car,0.02239205,ridehail | all:0.003060477394121622; income | 25-50:0.022392050302529755,,,
phev-L1-25000-to-50000-LowTech-2019,3,0,4.5,electricity,626,57712500,LowTech_Fastchg_1p5_FASTSimData_2019/income_25000_to_50000/phev-charge_depleting-(gasoline_phev_Chevrolet_Volt_36000_Charge_Depleting).csv.gz,gasoline,1300,LowTech_Fastchg_1p5_FASTSimData_2019/income_25000_to_50000/phev-charge_sustaining-(gasoline_phev_Chevrolet_Volt_36000_Charge_Sustaining).csv.gz,3655980000,1,,,,,Car,0.001187619,ridehail | all:0.00016232014698454138; income | 25-50:0.001187618932710677,,,
diesel-L1-25000-to-50000-LowTech-2019,3,0,4.5,diesel,1300,3655980000,LowTech_Fastchg_1p5_FASTSimData_2019/income_25000_to_50000/conv--(diesel_conv_BMW_X3_xDrive28d_36000).csv.gz,,,,,1,,,,,Car,0.008791351,ridehail | all:0.0012015751367113563; income | 25-50:0.008791350968704634,,,
